Id,Expected,Rooms,SqrMeters,Floor,Location,Centre,Description
463,462858,3,70.13,1,Poznań Grunwald ul. Heweliusza / Palacza,0,OSTATNIE WOLNE MIESZKANIA! Na sprzedaż mieszkanie na terenie nowego osiedla na poznańskim Grunwaldzie u zbiegu ul. Palacza i Heweliusza. Na metraż mieszkania składają się 3 samodzielne pokoje w tym sypialnia z garderobą osobna kuchnia ...
1282,259000,2,49,1,Poznań Rataje,0,Polecam na sprzedaż 2 pokojowe mieszkanie na 1 piętrze w wieżowcu na poznańskich Ratajach. Mieszkanie po gruntownym remoncie w 2011roku. Szpachlowane ściany częściowo wymieniona instalacja elektryczna panele na podłogach w pokojach w kuchni...
4463,325000,3,64.9,4,Poznań ul. Krakowska,1,Polecam na sprzedaż 3 pokojowe mieszkanie na 4 piętrze w budynku z lat 90-tych w ścisłym Centrum Poznania blisko terenów spacerowych. Trzy ustawne pokoje (pierwotnie 4) o pow. 21 17 11 m2 w tym salon z balkonem niezależna kuchnia z oknem 13m2 ...
739,319000,2,53,1,Poznań Naramowice Winogrady Piątkowo ul. Nowy Blok Z 2010r. Z Garażem Ul. Rubież,0,Drodzy Państwo mam przyjemność zaproponować mieszkanie położone na Naramowicach w Poznaniu w zamkniętym chronionym kompleksie niskich budynków wybudowanych w 2010r. W pobliżu liczne punkty handlowe usługowe banki poczta apteki żłobki ...
433,335000,2,38,1,Poznań Rataje Polanka Malta Starołęka ul. Milczańska,0,Przedmiotem sprzedaży jest 2- pokojowe mieszkanie w nowych blokach na Ratajach przy ulicy Milczańskiej o łącznej powierzchni użytkowej 38m2. Lokal usytuowany jest na parterze w niskim bloku. Salon połączony z aneksem kuchennym sypialnia ...
1608,340000,3,52,1,Poznań Stare Miasto,0,Sprzedam atrakcyjnie położone mieszkanie znajdujące się na poddaszu wyremontowanej kamienicy w ścisłym centrum miasta. Lokal znajduje się w bardzo atrakcyjnej lokalizacji w odległości 150 metrów od Starego Rynku w zadbanej kamienicy. Wszystkie...
311,165000,1,29,1,Poznań Łazarz ul. Łukaszewicza,0,Na sprzedaż kawalerka w bloku z cegły przy ul. Łukaszewicza. Mieszkanie przeszło gruntowny remont z wymianą instalacji i okien. Na ścianach gładź na podłogach panele i gres. Układ mieszkania niezależny. Kuchnia i łazienka do wykończenia....
1652,259000,2,37.6,1,Poznań Grunwald ul. Wyspiańskiego,0,Na sprzedaż mieszkanie (37 6 m2) zlokalizowane na parterze w kamienicy przy ul. Wyspiańskiego 13. W jego skład wchodzą: pokój z aneksem kuchennym sypialnia łazienka z WC. Kamienica po renowacji która obejmowała odnowienie elewacji wraz z...
1342,128000,1,14.37,1,Poznań ul. Okolice Starego Rynku,1,Przytulne mieszkanie na pierwszym piętrze w kamienicy w Poznaniu w dzielnicy Centrum. Jeden pokój okna wychodzące na południe wschód; widok na inne budynki. Standard wykończenia: Ściany - gładź gipsowa; Okna - PCV; Parapety - MDF....
1538,206000,2,38,2,Poznań Rataje ul. Os. Piastowskie 89,0,Ładne mieszkanie o bardzo dobrej lokalizacji w zadbanym bloku.
1142,203000,2,37,3,Poznań ul. Sokoła,0,Polecam na sprzedaż mieszkanie o powierzchni 37m2 na Sołaczu. Dwa pokoje kuchnia w aneksie (możliwość zamknięcia) łazienka spora garderoba/pomieszczenie gospodarcze korytarz. Funkcjonalny układ lokalu pozwala na maksymalne wykorzystanie jego...
386,270000,1,34,10,Poznań Stare Miasto Winogrady ul. Os. Zwycięstwa,0,***WINOGRADY***32M2***PO REMONCIE*** Gustownie urządzona kawalerka o powierzchni 34m2 na Osiedlu Zwycięstwa w Poznaniu. Mieszkanie położone na dziesiątym piętrze szesnastopiętrowego bloku z wielkiej płyty z 1980r. Na powierzchni 34 m2...
252,470000,3,69,3,Poznań Naramowice ul. Karpia,0,Polecam Państwu na sprzedaż pięknie i funkcjonalnie mieszkanie przy ulicy Karpia (Naramowice) w Poznaniu. Mieszkanie usytuowane jest na trzecim piętrze czterokondygnacyjnego budynku z cegły z 2010 roku. Składa się z trzech niezależnych pokoi ...
2606,158000,1,32,1,Poznań Wilda Łazarz Jeżyce ul. Robocza Ul.,1,Polecam na sprzedaż przytulną kawalerkę o powierzchni 31 60 m2 położonej przy ul. Roboczej w Poznaniu na pierwszym piętrze w budynku pięciokondygnacyjnym wybudowanym w 2000 r. Mieszkanie składa się z pokoju z aneksem kuchennym korytarza ...
1396,281865,3,49.45,1,Poznań Wilda ul. Rolna 37 I 39,0,Nieruchomości Mieszkania Nieruchomości Mieszkania
758,497000,4,127,1,Poznań Szczepankowo,0,| Bardzo ładne komfortowo wykończone bezczynszowe dwupoziomowe mieszkanie położone w Szczepankowie. W skład powierzchni 127m 2 wchodzi: I poziom: słoneczny salon (20 m2); korytarz (5 8 m2) + (3 5 m2); kuchnia (8 m2); pokój (14 m2);...
488,289000,3,47,1,Poznań Rataje Malta Chartowo Śródka Starołęk ul. Armii Krajowej,0,Polecamy na sprzedaż 3- pokojowe mieszkanie w idealnej lokalizacji na Ratajach- Osiedle Armii Krajowej po KAPITALNYM REMONCIE. Lokal usytuowany jest na wysokim parterze w NISKIM BLOKU. Składa się z 3 niezależnych pokoi jasnej kuchni z oknem ...
2623,198900,1,85,1,Poznań ul. Długa,1,Mieszkanie w programie MDM!!! Na sprzedaż klimatyczne mieszkanie o powierzchni 85 40m2 w samym centrum Poznania przy ulicy Długiej. Mieszkanie poddaszowe na 4 piętrze. Mieszkanie w stanie deweloperskim ogrzewanie gazowe. Budynek wyposażony...
2138,530000,4,99,2,Poznań ul. Zamkowa,1,Przestronne mieszkanie na drugim piętrze w kamienicy w Poznaniu w dzielnicy Centrum. Cztery pokoje okna wychodzące na północ południe; widok na inne budynki. Standard wykończenia: Ściany - glazura gładź gipsowa; Podłogi - panele podłogowe ...
541,366000,2,53.72,3,Poznań Nowe Miasto ul. Smolna,0,Rozkładowe przestronne mieszkanie na trzecim piętrze w bloku mieszkalnym w Poznaniu w dzielnicy Nowe Miasto. Dwa pokoje okna wychodzące na południe wschód; widok na inne budynki. Standard wykończenia: Ściany - gładź gipsowa; Podłogi -...
114,375000,2,62,1,Poznań Winogrady Piątkowo Sołacz Naramowice ul. Czapla,0,Polecamy na sprzedaż 2- pokojowe mieszkanie w bardzo dobrej lokalizacji 10 min do Starego Rynku na WINOGRADACH przy ulicy Czapla. Mieści się na I piętrze niskiego czteropiętrowego budynku z 1997 r. Zbudowany został w solidnej technologii z...
526,349000,2,64,2,Poznań Rataje ul. Os. Św. Rocha,0,Opis dodatkowy Polecam na sprzedaż 2-pokojowego mieszkania zlokalizowanego w niskim bloku z cegły z 1999r. przy ul. św. Rocha (Rataje). Mieszkanie położone jest na II piętrze o powierzchni 64 m2. Duży salon z wyjściem na balkon i widokiem na...
1458,312442,3,51.22,7,Poznań Winogrady ul. Lechicka Okolice,0,0% prowizji od Kupującego! Polecam na sprzedaż mieszkania na nowym osiedlu w Poznaniu. Inwestycja to połączenie ciekawej architektury z funkcjonalnym i przestrzennym wnętrzem. Mieszkania od 25m2 do 126m2 z ogródkami lub balkonami/tarasami....
635,349000,4,71,11,Poznań Piątkowo,0,Polecam na sprzedaż mieszkanie 4 pokojowe (71m2). Lokal znajduje się na jednym z osiedli na Piątkowie jest to doskonała lokalizacja pod względem infrastruktury (przedszkole szkoły przychodnie sklepy parkingi); jak również komunikacyjnym...
2022,368000,3,67,2,Poznań Jeżyce Wola Grunwald ul. Kraszewskiego,1,Oferuję na sprzedaż mieszkanie trzypokojowe w dzielnicy Jeżyce przy ul. Kraszewskiego. Mieszkanie znajduje się na 2 piętrze w kamienicy (w nowym budownictwie). Na powierzchnię mieszkanie 67 m2 składają się 3 pokoje kuchnia łazienka i...
1596,280143,2,45.91,4,Poznań Winogrady ul. Hawelańska,0,Osiedle Nowe Winogrady zbudowaliśmy w północnej części Poznania w sąsiedztwie największego w mieście parku Cytadela i terenów rekreacyjnych nad Wartą. Pasjonaci historii mogą zwiedzać pobliskie stare forty z muzeami militariów. Lokalizacja...
591,387000,3,82.5,1,Poznań Łazarz ul. Małeckiego Po Remoncie!,0,Biuro Nieruchomości Credo poleca na sprzedaż przestronne 3-pokojowe mieszkanie położone na pierwszym piętrze pięknej zabytkowej kamienicy w atrakcyjnej lokalizacji przy ul. Małeckiego Łazarz Poznań. Kamienica została ocieplona klatka schodowa...
2422,690000,5,138,1,Poznań ul. Serafitek Św.Rocha Rataje Nowe Miasto,1,Polecam na sprzedaż 5 pokojowe mieszkanie w bardzo dobrym standardzie zlokalizowane na 1 piętrze niskiego bloku z cegły z 1999r przy ul. św. Rocha/ Serafirek Mieszkanie o powierzchni 138 m2 składa się z: - salon - ok. 28m2; - 4 pokoje (...
593,284955,2,47.54,2,Poznań Winogrady ul. Hawelańska,0,Osiedle Nowe Winogrady zbudowaliśmy w północnej części Poznania w sąsiedztwie największego w mieście parku Cytadela i terenów rekreacyjnych nad Wartą. Pasjonaci historii mogą zwiedzać pobliskie stare forty z muzeami militariów. Lokalizacja...
1552,199000,1,31.5,2,Poznań Nowe Miasto ul. Folwarczna,0,Jasne mieszkanie na drugim piętrze w bloku mieszkalnym w Poznaniu w dzielnicy Nowe Miasto. Jeden pokój z aneksem kuchennym okna wychodzące na północ; widok na drzewa. Standard wykończenia: Ściany - glazura gładź gipsowa; Podłogi - panele...
1451,240000,2,49,5,Poznań Rataje ul. Unii Lubelskiej,0,Mieszkanie 49m2 Poznań - Rataje ul. Unii Lubelskiej CENA: 240 000 zł Polecam 2-pokojowe funkcjonalne mieszkanie znajdujące się na 5 piętrze w 10-piętrowym bloku na ul. Unii Lubelskiej w Poznaniu. Stan prawny mieszkania - spółdzielcze...
4,189000,2,44,2,Poznań Grunwald Ogrody Jeżyce Łazarz ul. Bułgarska - Dobra Cena!!!,1,BEZPIECZNA TRANSAKCJA JEDYNIE Z DOŚWIADCZONYM I LICENCJONOWANYM POŚREDNIKIEM!!! GWARANCJA PEWNEGO ZAKUPU!!! Polecam do zakupu mieszkanie 2 pokojowe położone na Grunwaldzie ( ul. Bułgarska ). Na 44 m2 składają się dwa ustawne pokoje ( w tym...
176,326073,3,53.02,1,Poznań Winogrady ul. Hawelańska,0,Osiedle Nowe Winogrady zbudowaliśmy w północnej części Poznania w sąsiedztwie największego w mieście parku Cytadela i terenów rekreacyjnych nad Wartą. Pasjonaci historii mogą zwiedzać pobliskie stare forty z muzeami militariów. Lokalizacja...
1144,215000,2,43,1,Poznań Grunwald ul. Bułgarska/ Ognik,0,Polecam na sprzedaż mieszkanie dwupokojowe o powierzchni 43 m2 na grunwaldzie rejon ul. Bułgarskiej a Ognika. Mieszkanie usytuowane jest na pierwszym piętrze w niskim ocieplonym i odnowionym czteropiętrowym bloku. Mieszkanie składa się z salonu z...
1954,330000,3,66,2,Poznań Stare Miasto ul. Ratajczaka,1,Przestrzenne trzypokojowe mieszkanie w ścisłym centrum Poznania! Szybka sprzedaż!!! Główne atuty nieruchomości: • prestiżowa lokalizacja • rozkład pomieszczeń • prestiżowy adres Nieruchomość złożona z: • pokój dzienny 22 m.kw • pokój 16 m.kw...
2920,248000,1,38,4,Poznań Wilda ul. Dolna Wilda,1,Polecamy na sprzedaż mieszkanie w Centrum Poznania na Dolnej Wildzie które składa się z salonu z aneksem kuchennym oraz małej sypialni oddzielonej ścianą od salonu. Ponadto posiada dużą łazienkę miejsce garażowe w hali oraz piwnicę. Mieszkanie...
1198,160000,1,28.9,1,Poznań Grunwald ul. Józefa Łukaszewicza,0,Polecam na sprzedaż odnowioną kawalerkę o powierzchni 29 mkw znajdującą się na parterze 4-piętrowego bloku z cegły. Mieszkanie składa się z pokoju oddzielnej kuchni łazienki oraz korytarza. Pokój o powierzchni 17 5 mkw okno PCV na podłodze...
3996,340000,2,53,2,Poznań Rataje Zawady Jeżyce ul. Na Miasteczku Ul.,1,Polecam na sprzedaż mieszkanie w na Ratajach- konkretnie przy Rondzie Rataje- ul. Na Miasteczku tzw. Tarasy Warty. Budynek został wybudowany w 2009 r. Każda klatka ma zastrzeżone wejścia- karty zabezpieczające. Dodatkowo każde piętro jest...
389,259000,3,53.5,1,Poznań Rataje ul. Os. Czecha,0,Nowa niższa cena!!! Polecam na sprzedaż 3 pokojowe mieszkanie na pierwszym piętrze w niskim ocieplonym bloku. Na lokal składają się 3 niezależne pokoje jeden z balkonem przestronny przedpokój kuchnia osobna z oknem łazienka w płytkach z wanną....
847,285094,2,48.31,2,Poznań Grunwald ul. Knapowskiego 25,0,Lokal mieszkalny numer 9 o powierzchni 48 31 m2 składa się z pokoju dziennego połączonego z kuchnią pokoju łazienki i korytarza. Mieszkanie posiada balkon. Mieszkanie jest położone na II piętrze od strony północno-zachodniej. Opis wykończenia...
55,230767,2,47.3,1,Poznań ,1,NAJWIĘKSZA OFERTA RYNKU PIERWOTNEGO W WIELKOPOLSCE !!! PONAD 50 INWESTYCJI DEWELOPERSKICH W POZNANIU I OKOLICACH W JEDNYM MIEJSCU !!! U NAS W BIURZE : - zapoznasz się z aktualną ofertą ponad 30 deweloperów - wspólnie z doradcą wybierzesz...
1542,146000,1,31,1,Poznań Głuszyna ul. Sypniewo,0,Oferuję na sprzedaż mieszkanie w Poznaniu przy ul. Sypniewo (Głuszyna). Mieszkanie znajduje się na parterze w niskim. Na powierzchnię mieszkania 31 m2 składają: pokój z aneksem kuchennym przedpokój i łazienka. Kuchnia w zabudowie. Łazienka w...
1638,525000,2,54.8,4,Poznań Grunwald ul. Matejki,0,Słoneczne mieszkanie na czwartym piętrze w kamienicy w Poznaniu w dzielnicy Grunwald. Dwa pokoje z aneksem kuchennym okna wychodzące na północ wschód; widok na panoramę miasta. Standard wykończenia: Ściany - glazura gładź gipsowa tapeta;...
461,172155,1,24.94,4,Poznań ul. Wielka,1,Słoneczne mieszkanie na czwartym piętrze w kamienicy w Poznaniu w dzielnicy Centrum. Jeden pokój z aneksem kuchennym okna wychodzące na zachód; widok na inne budynki. Standard wykończenia: Ściany - gładź gipsowa; Podłogi - panele podłogowe;...
103,239174,2,38.89,3,Poznań Winogrady ul. Hawelańska,0,Osiedle Nowe Winogrady zbudowaliśmy w północnej części Poznania w sąsiedztwie największego w mieście parku Cytadela i terenów rekreacyjnych nad Wartą. Pasjonaci historii mogą zwiedzać pobliskie stare forty z muzeami militariów. Lokalizacja...
494,157000,1,31,7,Poznań Grunwald,0,Atrakcyjna kawalerka na Grunwaldzie w okazyjnej cenie Polecam przestronne mieszkanie składające się z dużego pokoju (19 m 2 ) oddzielnej widnej kuchni oraz łazienki i przedpokoju. Metraż (31 m 2 ) i układ mieszkania pozwalają zaaranżować...
1324,1000000,6,124.3,1,Poznań Stare Miasto Jeżyce ul. Dąbrowskiego,1,Świetna lokalizacja doskonała komunikacja nieruchomość do zamieszkania od zaraz. Główne atuty nieruchomości: • doskonała komunikacja z centrum • bliskość komunikacji miejskiej • po remoncie generalnym Nieruchomość złożona z: • pokój 17 36...
2751,199836,1,85.4,1,Poznań ul. Długa,1,Mieszkanie w programie MDM!!! Na sprzedaż klimatyczne mieszkanie o powierzchni 85 40m2 w samym centrum Poznania przy ulicy Długiej. Mieszkanie poddaszowe na 4 piętrze. Mieszkanie w stanie deweloperskim ogrzewanie gazowe. Budynek wyposażony...
466,456000,2,58,1,Poznań Winogrady ul. Dobrogiejskiego,0,Polecam na sprzedaż mieszkanie usytuowane na pierwszym piętrze willi miejskiej w prestiżowej dzielnicy Poznania - Winogradach. Mieszkanie o wyższym standardzie składa się z 2 pokoi oddzielnej kuchni oraz łazienki z prysznicem. Umeblowanie...
1530,350000,4,64,1,Poznan Stare Miasto ul. Szarych Szeregów,0,Polecam na sprzedaż mieszkanie 4 pokojowe ( 64m2) zlokalizowane przy ul.Szarych Szeregów. Mieszkanie położone jest na parterze w czterokondygnacyjnym bloku wśród zieleni w pewnej odległości od ulicy dzięki czemu mieszkanie jest ciche. Dojazd...
1328,350000,3,77.25,4,Poznań Rataje Starołęka ul. Os. Armii Krajowej,0,NIEZALEŻNE POKOJE! ŚWIETNA LOKALIZACJA! WOLNE DO USTALENIA! Na sprzedaż 3-pokojowe mieszkanie usytuowane na 4 piętrze w wysokim bloku z dwiema WINDAMI na os. Armii Krajowej (Rataje) o powierzchni 77 25m2. Mieszkanie posiada funkcjonalny...
1629,334724,4,72.93,1,Poznań Plewiska Luboń Dąbrówka Komorniki Grunwald ul. Szkolna 107,0,Kominek
1121,230000,1,31,3,Poznań Piątkowo Winogrady Sołacz Jeżyce ul. Batorego - Polecam!!!,1,BEZPIECZNA TRANSAKCJA JEDYNIE Z DOŚWIADCZONYM I LICENCJONOWANYM POŚREDNIKIEM!!! 100 % SATYSFAKCJI Z ZAKUPU!!! Polecamy do zakupu przestronną kawalerkę usytuowaną na trzecim piętrze w 4-piętrowym nowym budynku (2007) na os. Stefana Batorego (...
157,180000,1,27,8,Poznań Winogrady Piątkowo Sołacz ul. Kosmonautów,0,POLECAM NA SPRZEDAŻ KAWALERKE NA OS.KOSMONAUTÓW POLOZONĄ NA 8 PIĘTRZE W WIEŻOWCU CZYNSZ OK 230 ZŁ CENA: 180 000 zł DO NEGOCJACJI! ZAPEWNIAMY BEZPŁATNĄ POMOC W UZYSKANIU NAJKORZYSTNIEJSZEGO KREDYTU NA RYNKU Zapraszam do oglądania! Kontakt: 519...
1680,278951,2,47.16,2,Poznań Naramowice ul. Błażeja,0,| PODATKU PCC KUPUJĄCY NIE PŁACI Polecam na sprzedaż mieszkanie 2 pokojowe z widokiem na las. Nowe budownictwo cicha spokojna okolica Idealny układ mieszkania z którego można zrobić 3 pokoje z aneksem kuchennym. Do mieszkania przynależy...
339,299000,2,49,2,Poznań Naramowice,0,Polecamy!!! Lokal w pełni umeblowany o bardzo dobrym układzie na który składa się salon z balkonem i aneksem kuchennym (z możliwością zabudowania przy niewielkim wkładzie finansowym i uzyskania osobnego pomieszczenia) sypialnia przedpokój i...
1261,351000,5,84.5,1,Poznań ul. Swarzędz / Rabowice,0,• kameralne osiedle • nowoczesna i atrakcyjna architektura • własne ogrody • indywidualna aranżacja wnętrz • dodatkowa przestrzeń na gabinet • przestronne pokoje
1115,269000,3,53.4,4,Poznań Winogrady ul. Os. Przyjaźni,0,| Kontakt w sprawie oferty: Cezary tel. 883 577 404 Zapraszam do zapoznania się z ofertą sprzedaży mieszkania 3 pokojowego o pow. 53 mkw. w niskim bloku na 4 piętrze na os. Przyjaźni. Mieszkanie funkcjonalne trzy niezależne pokoje...
663,219000,2,63.6,1,Poznań Wilda ul. Wspólna,0,Duże 2 pokojowe mieszkanie o pow. 63 6 m2 Wilda ul. Wspólna DOBRA CENA !!! POLECAM !!! Główne atuty nieruchomości: • bliskość komunikacji miejskiej • rozkład pomieszczeń Nieruchomość złożona z: • korytarz 5 m.kw • pokój 19 5 m.kw • kuchnia...
1340,525000,4,92.5,1,Poznań Poznań-Grunwald ul. Jana Matejki,0,Oferta sprzedaży mieszkania o łącznej powierzchni 92 5 m2 na 1 piętrze rewitalizowanej zabytkowej kamienicy położonej przy ulicy Matejki jednej z najelegantszych ulic śródmieścia Poznania złożonej głównie z secesyjnych kamienic w...
623,239000,2,42.7,3,Poznań Grunwald Łazarz ul. Józefa Łukaszewicza,0,*** NIEZALEŻNY UKŁAD *** PO KAPITALNYM REMONCIE *** WOLNE OD ZARAZ!!! *** Nowe dwupokojowe mieszkanie w centrum Poznania na Łazarzu w pobliżu rynku Łazarskiego. Lokal położony jest na trzecim piętrze czterokondygnacyjnego...
1201,408456,3,65.88,2,Poznań Winogrady ul. Hawelańska,0,Nieruchomości Mieszkania Nieruchomości Mieszkania
4812,400000,3,85,4,Poznań ul. Krakowska,1,Wyremontowane mieszkanie trzypokojowe o pow. 85 m2 na 4 piętrze kamienicy przy ul. Krakowskiej 200 m od Starego Browaru. Pokoje o pow. 15 18 5 i 19 m2. Najmniejszy pokój przejściowy do pokoju o pow. 19 m2 z garderobą 1 3 m2. W pokojach panele...
3664,185000,1,30,2,Poznań Grunwald Łazarz ul. Przybyszewskiego,1,Polecam na sprzedaż jasną i ustawną kawalerkę zlokalizowaną na Poznańskim Grunwaldzie przy ul. Przybyszewskiego na II piętrze w niskim bloku z cegły. Na metraż 30m składa się z dużego pokoju oddzielnej jasnej kuchni łazienki oraz przedpokoju....
1597,267000,3,49.5,9,Poznań Grunwald ul. Dmowskiego,0,Rozkładowe przytulne mieszkanie na dziewiątym piętrze w wieżowcu w Poznaniu w dzielnicy Grunwald. Trzy pokoje okna wychodzące na północ południe zachód; widok na panoramę miasta. Standard wykończenia: Ściany - gładź gipsowa; Podłogi -...
648,295000,3,64,4,Poznań Jeżyce ul. Galla Anonima,1,Galla 3 pokoje 295tyś 64 2mkw po częściowym remoncie budynek z lat 90 balkon.. Zapraszam do zapoznania się z ofertą sprzedaży mieszkania położonego przy ulicy Galla (Poznań-Jeżyce) . Lokalizacja zapewnia bardzo dobrą i szybką komunikację z...
2323,715000,4,130,2,Poznań ul. Górna Wilda 68/5,1,Polecam do sprzedaży mieszkanie czteropokojowe o pow. 130 m2 znajdujące się na drugim piętrze w reprezentacyjnej kamienicy na Wildzie. Mieszkanie składa się z czterech pokoi kuchni oraz łazienki. Posiada dwa balkony. Budynek po generalnym...
908,550000,3,73,1,Poznań Podolany,0,Zapraszam do zapoznania się z ofertą sprzedaży atrakcyjnego mieszkania - apartamentu w domu wielorodzinnym na Podolanach ul. Strzeszyńska o całkowitej powierzchnia - 73 m2. W skład apartamentu wchodzi: - duży salon z aneksem kuchennym połączony...
1453,410000,3,90.43,1,Poznań Jeżyce ul. Wzlotowa,0,Polecam na sprzedaż mieszkanie w domu piętrowym. ogród garaż Nieruchomość z ogrodem w spokojnej okolicy dobrze skomunikowana w najbliższej okolicy place zabaw centrum handlowe i sklepiki osiedlowe przedszkole szkoła podstawowa i...
579,199000,2,43,2,Poznań Piotrowo,0,Polecam do zakupu mieszkanie z balkonem z możliwością dokupienia działki ROD o powierzchni 43m2 w Poznaniu dzielnicy Piotrowo ul Głuszyna. Mieszkanie słoneczne ciche zadbane. Blok ocieplony pomalowany nowe opierzenia i dach. Otoczenie...
427,357180,3,59.53,3,Poznań Piątkowo ul. Kurpińskiego,0,Nieruchomości Mieszkania Nieruchomości Mieszkania
610,325000,2,47,3,Poznań Winogrady ul. Winogrady,0,BT - BEZPIECZNA TRANSAKCJA TYLKO Z LICENCJONOWANYM POŚREDNIKIEM!!! POZNAŃ - WINOGRADY Mieszkanie o pow. 46 6m2 położone na trzecim piętrze trzykondygnacyjnego budynku z 2004 roku. Pokój dzienny 19 5m2 połączony z kuchnią w formie aneksu ...
1446,259000,2,47,14,Poznań Piątkowo Winogrady Sołacz ul. Chrobrego Os.,0,POLECAM NA SPZREDAŻ 2 pokojowe z balkonem na 14. piętrze o powierzchni 47 m2 z pięknym widokiem na zachodnią stronę Poznania. Świetny dostęp do komunikacji: 3 min do przystanku PST oraz autobusowego - dojazd tramwajem do centrum miasta w zaledwie...
1062,268974,2,45.9,5,Poznań Nowe Miasto ul. Smolna 13 D,0,Nieruchomości Mieszkania Nieruchomości Mieszkania
2383,199000,1,21,4,Poznań ul. Marcinkowskiego,1,Przytulne mieszkanie na czwartym piętrze w kamienicy w Poznaniu w dzielnicy Centrum. Powierzchnia całkowita mieszkania wynosi około 39 m2. Jeden pokój okna wychodzące na południe zachód; widok na inne budynki. Standard wykończenia: Ściany -...
1113,247428,2,42.66,1,Poznań Wilda ul. Rolna 37 I 39,0,Nieruchomości Mieszkania Nieruchomości Mieszkania
441,185000,2,37.5,10,Poznań Dębiec ul. Św. Szczepana,0,Małe ale własne! Polecam na sprzedaż mieszkanie 2-pokojowe o powierzchni 37 5 m2 usytuowane na 10p.w bloku zlokalizowanym na ulicy Św.Szczepana na Dębcu. Układ mieszkania: pokój z aneksem kuchennym ( 16m2) posiadający duże okna oraz wyjście na...
